CondUnitBaaNDataID,CondUnitModelID,CompressorHP,CondType,CondTypeDesc,AppTempDesc,RefType,RefTypeDesc,AWEFPassOrFail,AWEFRating
1,1,10,0,Standard,M,S,R404A,PASS,8.856
2,2,15,0,Standard,M,S,R404A,PASS,8.472
3,3,20,0,Standard,M,S,R404A,PASS,8.39
4,4,25,0,Standard,M,S,R404A,PASS,9.054
5,5,30,0,Standard,M,S,R404A,PASS,8.792
6,6,35,0,Standard,M,S,R404A,PASS,8.924
7,7,40,0,Standard,M,S,R404A,PASS,8.402
8,16,10,1,Oversized,M,S,R404A,PASS,8.637
9,17,15,1,Oversized,M,S,R404A,PASS,8.921
10,18,20,1,Oversized,M,S,R404A,PASS,9.013
11,19,25,1,Oversized,M,S,R404A,PASS,9.229
12,20,30,1,Oversized,M,S,R404A,PASS,8.936
13,21,35,1,Oversized,M,S,R404A,PASS,9.07
14,22,40,1,Oversized,M,S,R404A,PASS,8.892
15,31,10,2,Title 24 Compliant,M,S,R404A,PASS,9.128
16,32,15,2,Title 24 Compliant,M,S,R404A,PASS,9.091
17,33,20,2,Title 24 Compliant,M,S,R404A,PASS,9.266
18,34,25,2,Title 24 Compliant,M,S,R404A,PASS,9.33
19,35,30,2,Title 24 Compliant,M,S,R404A,PASS,8.907
20,36,35,2,Title 24 Compliant,M,S,R404A,PASS,9.186
21,43,10,0,Standard,M,S,R404A,PASS,8.489
22,44,15,0,Standard,M,S,R404A,PASS,8.392
23,45,20,0,Standard,M,S,R404A,PASS,8.317
24,46,25,0,Standard,M,S,R404A,PASS,8.586
25,47,30,0,Standard,M,S,R404A,PASS,8.387
26,48,35,0,Standard,M,S,R404A,PASS,8.605
27,49,40,0,Standard,M,S,R404A,PASS,8.149
28,58,10,1,Oversized,M,S,R404A,PASS,8.451
29,59,15,1,Oversized,M,S,R404A,PASS,8.907
30,60,20,1,Oversized,M,S,R404A,PASS,8.891
31,61,25,1,Oversized,M,S,R404A,PASS,8.792
32,62,30,1,Oversized,M,S,R404A,PASS,8.557
33,63,35,1,Oversized,M,S,R404A,PASS,8.774
34,64,40,1,Oversized,M,S,R404A,PASS,8.659
35,73,10,2,Title 24 Compliant,M,S,R404A,PASS,8.801
36,74,15,2,Title 24 Compliant,M,S,R404A,PASS,9.108
37,75,20,2,Title 24 Compliant,M,S,R404A,PASS,9.118
38,76,25,2,Title 24 Compliant,M,S,R404A,PASS,8.855
39,77,30,2,Title 24 Compliant,M,S,R404A,PASS,8.501
40,78,35,2,Title 24 Compliant,M,S,R404A,PASS,8.865
41,85,10,0,Standard,M,S,R404A,PASS,8.656
42,86,15,0,Standard,M,S,R404A,PASS,8.508
43,87,20,0,Standard,M,S,R404A,PASS,8.419
44,88,25,0,Standard,M,S,R404A,PASS,8.762
45,89,30,0,Standard,M,S,R404A,PASS,8.726
46,90,35,0,Standard,M,S,R404A,PASS,8.718
47,91,40,0,Standard,M,S,R404A,PASS,8.411
48,100,10,1,Oversized,M,S,R404A,PASS,8.581
49,101,15,1,Oversized,M,S,R404A,PASS,9.017
50,102,20,1,Oversized,M,S,R404A,PASS,8.984
51,103,25,1,Oversized,M,S,R404A,PASS,8.932
52,104,30,1,Oversized,M,S,R404A,PASS,8.844
53,105,35,1,Oversized,M,S,R404A,PASS,8.869
54,106,40,1,Oversized,M,S,R404A,PASS,8.857
55,115,10,2,Title 24 Compliant,M,S,R404A,PASS,8.961
56,116,15,2,Title 24 Compliant,M,S,R404A,PASS,9.213
57,117,20,2,Title 24 Compliant,M,S,R404A,PASS,9.207
58,118,25,2,Title 24 Compliant,M,S,R404A,PASS,9.022
59,119,30,2,Title 24 Compliant,M,S,R404A,PASS,8.834
60,120,35,2,Title 24 Compliant,M,S,R404A,PASS,8.972
61,127,10,0,Standard,M,S,R404A,Exempt,0
62,128,15,0,Standard,M,S,R404A,Exempt,0
63,129,16,0,Standard,M,S,R404A,Exempt,0
64,130,18,0,Standard,M,S,R404A,Exempt,0
65,131,20,0,Standard,M,S,R404A,Exempt,0
66,132,24,0,Standard,M,S,R404A,Exempt,0
67,133,30,0,Standard,M,S,R404A,Exempt,0
68,134,40,0,Standard,M,S,R404A,Exempt,0
69,135,50,0,Standard,M,S,R404A,Exempt,0
70,136,60,0,Standard,M,S,R404A,Exempt,0
71,137,70,0,Standard,M,S,R404A,Exempt,0
72,138,80,0,Standard,M,S,R404A,Exempt,0
73,147,10,1,Oversized,M,S,R404A,Exempt,0
74,148,15,1,Oversized,M,S,R404A,Exempt,0
75,149,16,1,Oversized,M,S,R404A,Exempt,0
76,150,18,1,Oversized,M,S,R404A,Exempt,0
77,151,20,1,Oversized,M,S,R404A,Exempt,0
78,152,24,1,Oversized,M,S,R404A,Exempt,0
79,153,30,1,Oversized,M,S,R404A,Exempt,0
80,154,40,1,Oversized,M,S,R404A,Exempt,0
81,155,50,1,Oversized,M,S,R404A,Exempt,0
82,156,60,1,Oversized,M,S,R404A,Exempt,0
83,157,70,1,Oversized,M,S,R404A,Exempt,0
84,158,80,1,Oversized,M,S,R404A,Exempt,0
85,167,16,2,Title 24 Compliant,M,S,R404A,Exempt,0
86,168,20,2,Title 24 Compliant,M,S,R404A,Exempt,0
87,169,40,2,Title 24 Compliant,M,S,R404A,Exempt,0
88,170,70,2,Title 24 Compliant,M,S,R404A,Exempt,0
89,173,10,0,Standard,M,S,R404A,Exempt,0
90,174,15,0,Standard,M,S,R404A,Exempt,0
91,175,16,0,Standard,M,S,R404A,Exempt,0
92,176,18,0,Standard,M,S,R404A,Exempt,0
93,177,20,0,Standard,M,S,R404A,Exempt,0
94,178,24,0,Standard,M,S,R404A,Exempt,0
95,179,30,0,Standard,M,S,R404A,Exempt,0
96,180,40,0,Standard,M,S,R404A,Exempt,0
97,181,50,0,Standard,M,S,R404A,Exempt,0
98,182,60,0,Standard,M,S,R404A,Exempt,0
99,183,70,0,Standard,M,S,R404A,Exempt,0
100,184,80,0,Standard,M,S,R404A,Exempt,0
101,193,10,1,Oversized,M,S,R404A,Exempt,0
102,194,15,1,Oversized,M,S,R404A,Exempt,0
103,195,16,1,Oversized,M,S,R404A,Exempt,0
104,196,18,1,Oversized,M,S,R404A,Exempt,0
105,197,20,1,Oversized,M,S,R404A,Exempt,0
106,198,24,1,Oversized,M,S,R404A,Exempt,0
107,199,30,1,Oversized,M,S,R404A,Exempt,0
108,200,40,1,Oversized,M,S,R404A,Exempt,0
109,201,50,1,Oversized,M,S,R404A,Exempt,0
110,202,60,1,Oversized,M,S,R404A,Exempt,0
111,203,70,1,Oversized,M,S,R404A,Exempt,0
112,204,80,1,Oversized,M,S,R404A,Exempt,0
113,213,16,2,Title 24 Compliant,M,S,R404A,Exempt,0
114,214,20,2,Title 24 Compliant,M,S,R404A,Exempt,0
115,215,40,2,Title 24 Compliant,M,S,R404A,Exempt,0
